Datetime,Tweet Id,Text,Username
2020-12-25 03:08:18+00:00,1342306147043135490,"We appreciate the kind words! We couldn’t have done it without our customers. Check your DMs! 👀🎅

https://t.co/5XXTDywOHn",RobinhoodApp
2020-12-25 03:05:38+00:00,1342305474239033344,"Thank you for being one of our early customers! Check your DMs! 👀🎅 #MyRobinhoodRecap

https://t.co/7zxaiQjv3f",RobinhoodApp
2020-12-25 03:04:54+00:00,1342305289572257793,"Hello, Becca 👋  We’re Robinhood, and we’re happy you’ve been with us since the early days. Check your DMs! 👀🎅

https://t.co/u7pvSGS47Y",RobinhoodApp
2020-12-25 03:04:22+00:00,1342305156503797761,"Thanks for sharing your 2020 Robinhood Recap. Check your DMs! 👀🎅 #MyRobinhoodRecap

https://t.co/84h1Mj1QHg",RobinhoodApp
2020-12-25 03:03:49+00:00,1342305017437417473,‘Twas the night before Christmas…🎄🎁🧦,RobinhoodApp
2020-12-24 18:25:45+00:00,1342174639078957059,"The @Nasdaq is like your tech-obsessed buddy (everyone’s got one) who can’t stop talking about APIs and learned to code before they could text.

https://t.co/0jryMWXBAL https://t.co/DfOvVsufWO",RobinhoodApp
2020-12-23 23:52:59+00:00,1341894602966454273,@laurent4508 💪💪,RobinhoodApp
2020-12-23 23:23:15+00:00,1341887121905180672,We are all investors. Our time is now. https://t.co/N9gWu0gU5c,RobinhoodApp
2020-12-23 20:08:04+00:00,1341838001794555904,"Shoutout to everyone who referred someone to Robinhood this year.

Here’s to the trendsetters that help their friends learn about the markets! #MyRobinhoodRecap https://t.co/FQmlmXsVCE",RobinhoodApp
2020-12-23 17:09:38+00:00,1341793097370513410,"A dividend can feel like a birthday check from grandma…except it’s sent by the company whose dividend-paying stock you own. They are generally distributed four times per year — or, if the company doesn’t pay dividends, not at all.

https://t.co/qD2HmVV04O https://t.co/QVLSunCDRM",RobinhoodApp
2020-12-23 00:38:29+00:00,1341543664993009664,@RehabKingXbox Link works now! Thanks for letting us know.,RobinhoodApp
2020-12-23 00:01:03+00:00,1341534247706869762,"An ETF is like an investment smoothie. Similar to a smoothie, it’s one thing you can invest in that can be made up of a mix of ingredients, available in different asset flavors (i.e., industries, sectors, etc.).

https://t.co/TJvZTjSi6o https://t.co/RB667M2VDw",RobinhoodApp
2020-12-22 23:08:30+00:00,1341521021103304706,@drckangelo Keeping your mind on your money! #MyRobinhoodRecap,RobinhoodApp
2020-12-22 23:08:12+00:00,1341520945769418753,@PharmaBruhh Wow! 3 years! #MyRobinhoodRecap,RobinhoodApp
2020-12-22 23:07:00+00:00,1341520642881900544,@bourashed Love that you joined us this year! #MyRobinhoodRecap,RobinhoodApp
2020-12-22 23:00:33+00:00,1341519020789538823,Quote tweet this with a screenshot from your 2020 Robinhood Recap. #MyRobinhooodRecap,RobinhoodApp
2020-12-22 20:00:23+00:00,1341473681424351232,The first step on any investing journey is a big one. Thanks for letting us take the journey with you! #MyRobinhoodRecap https://t.co/HyQHieZdmi,RobinhoodApp
2020-12-21 23:01:32+00:00,1341156878588334080,"Yes, we’re cutting our margin interest rate from 5% to 2.5% for Robinhood Gold customers, making it one of the most competitive in the industry. 

Straightforward pricing that’s the same for every eligible customer, regardless of account size.

https://t.co/K9Mn2T66xF https://t.co/l7iUKXaxOr",RobinhoodApp
2020-12-21 17:21:23+00:00,1341071280150175744,"It’s been quite the year. Do you remember:

📲 The first stock you bought?
🤝 The trades you made?
👀 How many companies you added to your watchlist?

Discover your Robinhood Recap and take a look back at your journey through 2020!

https://t.co/dSIPo4TKJb https://t.co/q5MKbxN7Pv",RobinhoodApp
2020-12-11 17:34:54+00:00,1337450801329963008,"@mattwundo We believe the @RobinhoodSnacks team calls this a ""TBOY"". 🙌",RobinhoodApp
2020-12-11 17:32:19+00:00,1337450152341041152,@HeyFrankel @ZacEfron @DoorDash Gotta love our @RobinhoodSnacks team!,RobinhoodApp
2020-12-09 21:28:01+00:00,1336784691651756035,@MechaJohnzilla Love that you're investing in the relationship between you and your portfolio. ❤️,RobinhoodApp
2020-12-03 22:00:49+00:00,1334618619188113408,"@J_Blake14 @bprafulkumar @vladtenev Couldn't have done it without our customers, who believe in a democratized financial system for all.",RobinhoodApp
2020-12-03 21:50:50+00:00,1334616107898994688,"We’re honored that Bloomberg Businessweek recognized our co-founders, @bprafulkumar and @vladtenev, on this year’s #Bloomberg50 list of icons and innovators.

https://t.co/FNr3EA7nnk",RobinhoodApp
2020-12-02 21:09:00+00:00,1334243193227894784,@michaelkuhn_ We're happy to help you access the markets as frequently as you need to!,RobinhoodApp
2020-12-02 21:08:10+00:00,1334242980257878016,@__J3 Love that for you.,RobinhoodApp
2020-12-02 21:06:49+00:00,1334242641655918593,@issasaaa You got your mind on your money!,RobinhoodApp
2020-12-02 18:09:08+00:00,1334197925904146435,"Our CEO @vladtenev joined @twentyminutevc to discuss why he co-founded Robinhood, what keeps him up at night, and how he’s leading Robinhood forward to democratize finance for all.

https://t.co/KlxIkPoCir https://t.co/uq5ZyfMyRM",RobinhoodApp
2020-11-24 01:25:51+00:00,1331046338046279680,@verve20 Interesting idea and great way to help friends hold each other accountable for learning! We'll certainly pass it on to the team.,RobinhoodApp
2020-11-24 01:24:12+00:00,1331045923112161281,@marianneoster We love that you're thinking about this too! Democratization and empowerment are key.,RobinhoodApp
2020-11-18 00:00:59+00:00,1328850654652076032,@tbt94 @FedEx 😉 https://t.co/8lX0pkJqMN,RobinhoodApp
2020-11-16 21:53:06+00:00,1328456083770281984,"Cash Management customers can send checks on Robinhood! No checkbook required for your next rent check:

💸 Tap the Cash tab
💱 Tap Transfer
✉️ Tap Pay by Check
📄 Provide the details of your payment
📨 Your check should arrive in 5–7 business days

https://t.co/Yp5sLxkF49",RobinhoodApp
2020-11-16 17:22:20+00:00,1328387942453182464,"@kennystsandmore Welcome to the markets, Kenny! Happy to help you access and learn about stocks.",RobinhoodApp
2020-11-14 00:44:27+00:00,1327412043549351937,"@jcarrcpa We don't have a checkbook, but you can pay by check using Cash Management!

https://t.co/PKjGNdqIwp",RobinhoodApp
2020-11-13 17:39:23+00:00,1327305070531133443,"No card? No problem!

Whether you have a virtual card or are waiting for your physical card, you can start using Cash Management immediately after enrolling:

🏦 Set up direct deposit
📲 Set up Apple Pay, Google Pay, or Samsung Pay
💻 Shop online

 https://t.co/E0HJp9k4GG",RobinhoodApp
2020-11-12 15:28:24+00:00,1326909720322568192,"@ApplauseTones You can send checks with Cash Management too! We started rolling this feature out to customers earlier this year. 🙂

https://t.co/PKjGNdIjUZ",RobinhoodApp
2020-11-12 15:05:24+00:00,1326903931793006595,"In 2020, Robinhood customers earned over $2.5M in interest through the Cash Management sweep program. 💰 https://t.co/DQA27BjEiC",RobinhoodApp
2020-11-12 15:05:23+00:00,1326903925937680387,"We know your cash is important to you.

With Cash Management, you can:

💵 Earn interest every month on your uninvested cash
💳 Use your personalized debit card to purchase your favorite things
🔁 Set up auto-pay for recurring bills

All through Robinhood. https://t.co/BppitvlZO5",RobinhoodApp
2020-11-12 15:05:22+00:00,1326903921646907394,"Do more with your brokerage account 💪

Today, you can join over one million Robinhood customers who are already using Cash Management to make purchases, earn interest, and invest all in one place. Here’s how Cash Management can work for you. 💵🙌

https://t.co/RJeIRQgQK6 https://t.co/cObSRxoCc7",RobinhoodApp
2020-11-10 20:16:29+00:00,1326257441131044864,"@mazzillie Great to have you with us, Emanuel! https://t.co/2POT0VkrFI",RobinhoodApp
2020-11-09 22:10:29+00:00,1325923743051337729,"Robinhood systems remained operational this morning, despite historic traffic. We’ve worked to harden our infrastructure, improve reliability, and increase capacity. We’ll continue to invest in scaling our systems to support our customers every day—including busy days like today.",RobinhoodApp
2020-11-09 21:45:59+00:00,1325917578124951552,@GooglePlay @mrsdowjones @lestanberry All part of how we aim to democratize finance for all!,RobinhoodApp
2020-11-02 17:33:38+00:00,1323317356790128640,"Last week, we hosted a virtual event for personal finance leaders. We were joined by special guests @mrsdowjones and @lestanberry to discuss how we’re empowering the next generation of investors. Here are some highlights.

https://t.co/joFZ2ZQs6x https://t.co/X2oKTAJh54",RobinhoodApp
2020-10-31 00:21:05+00:00,1322332731519373313,@packrunning_ Excited for you to start! https://t.co/yIuPEgxb5W,RobinhoodApp
2020-10-31 00:19:07+00:00,1322332238176870400,@goddess_gaming You're welcome!,RobinhoodApp
2020-10-31 00:09:00+00:00,1322329692045668353,@JENRANFT_DECKER Always happy to help!,RobinhoodApp
